CrossArea_cluster,mean,std,median,count,q1,q3,f_score
Astro_2,0.12064867560378861,0.22927899879971703,0.1695118217241165,994,-0.029963007049210275,0.30967505063136147,0.4929577464788732
Vip_26,0.05026913864105313,0.2826940207237304,0.1548055203783362,344,-0.11621440668131468,0.2597993301896697,0.4574468085106383
Sst_18,0.0686980724047015,0.28577445655235,0.15161630313701724,772,-0.11330779169520457,0.30329974888622274,0.2631578947368421
Lamp5_2,0.06363339937642212,0.27793312640820284,0.1279366919931165,1439,-0.1554582869994523,0.3047349459071451,0.5677743246473823
Sncg_7,-0.00473457987317347,0.3286604148342805,0.1256862026225698,549,-0.3340168927434248,0.3079616267223782,0.5911111111111111
Oligo_2,0.02358949575609992,0.3058951430310439,0.1251934750724589,1025,-0.2681672466689795,0.2954758706820881,0.5283788021323299
L2/3 IT_3,0.07040348218172209,0.24669544484576766,0.12123513791073665,5650,-0.14916683872485004,0.28922975629037995,0.535385182454847
Sncg_3,0.014797500935147445,0.3081254225158067,0.1138733247571847,942,-0.176530397856413,0.2589495514814937,0.4134720700985761
L5/6 NP_3,0.033733474112493854,0.2590680698575554,0.1135934384504279,1227,-0.0640556142156183,0.2318156072370699,0.5676791506930109
Sst_13,0.059052510477720505,0.29944105676557264,0.09917712495676945,1186,-0.15066661134013998,0.3296406824329475,0.5101034992607195
Lamp5_3,0.04429736612366588,0.26360193337289556,0.0986441968491787,937,-0.101756532838502,0.247601531298811,0.4486692015209125
Lamp5 Lhx6_1,-0.004584007635135403,0.36390791869651373,0.08924762943937205,8432,-0.29600919404850173,0.31788156322068434,0.8239196360879454
Sst_15,0.04436313725408891,0.26078255323305655,0.085111503645002,319,-0.1689992557396841,0.2836555873329738,0.1384083044982699
Vip_25,0.005709134634827435,0.3100809422825418,0.07459026809155406,2520,-0.25292957659426646,0.27724001602989,0.5406021897810219
Sst_17,0.06446368430147063,0.23210183507553472,0.0736191639249233,1221,-0.12852019053125,0.275501063487924,0.3725863475659505
L6b_4,-0.012359204689076775,0.3620902861792837,0.07016679699470615,1444,-0.31410875945571454,0.3188840354382634,0.6742857142857143
Sst_22,-0.020815525878407723,0.31718267711229514,0.04705360521241015,5548,-0.2715425880956938,0.2676135292614171,0.5626780626780626
Sst_32,-8.078973895835928e-05,0.26215404630374817,0.019081108725614603,426,-0.22539900217636774,0.2477253835415897,0.2494692144373673
Sst_8,-0.02938731504261375,0.3087132361504925,-0.0005677168760572,3608,-0.29777292577489045,0.24959848881080554,0.5373530255233725
Sst_31,-0.037368103823655054,0.22927181460010804,-0.0007253567206083999,554,-0.1772071030225137,0.15295095096253977,0.2922077922077922
Vip_2,-0.030058914239540577,0.3093734432070506,-0.0202335922558963,1289,-0.2783910156512729,0.2449551200306585,0.3842662632375189
Sst_37,-0.14886572390888686,0.2777412932577713,-0.0272023535251755,454,-0.2090490122022079,0.0420709242383008,0.351373182552504
Sst_21,-0.04928278712829876,0.20237149508443736,-0.0415742709564462,1105,-0.1802648261229683,0.124153640546988,0.3851091142490372
