clusterName,gene
L5/6 NP_6,CDH6
L5/6 NP_6,GPC5
L5/6 NP_3,ROBO3
L5/6 NP_3,PLPP3
L5/6 NP_3,HTR2C
L5/6 NP_3,KIT
L5/6 NP_5,LINC00607
L5/6 NP_5,C3orf52
L5/6 NP_1,NPSR1-AS1
L5/6 NP_1,QRFPR
