,Airway smooth muscle cell,Alveolar fibroblast 1,Alveolar fibroblast 2,Alveolar macrophage,Alveolar type 1 cell,Alveolar type 2 cell,Arterial endothelial cell,B cell,Basal cell,CD4+ T cell,CD8+ T cell,Capillary 1 cell,Capillary 2 cell,Chondrocyte,Ciliated cell,Classical DC subset 1,Classical DC subset 2,Deuterosomal cell,Goblet cell,Inflammatory monocyte,Innate lymphoid cell,Interstitial macrophage,Ionocyte,Lymphatic endothelial cell,Mast/Basophil,Mature DC subset,Megakaryocyte/Platelet,Mesothelial cell,Mucous cell,Myoepithelial cell,Natural killer cell,Neutrophil,Patrolling monocyte,Pericyte,Plasma cell,Plasmacytoid DC,Pulmonary neuroendocrine cell,Respiratory airway secretory cell,SMG Basal/Duct cell,Secondary crest myofibroblast,Secretory cell,Serous cell,Suprabasal cell,Systemic venous endothelial cell,T regulatory cell,Tuft cell,Vascular smooth muscle cell,Venous endothelial cell
CTSD,0.0,0.0,0.0,3.3397079,0.0,0.97950304,0.0,0.0,1.5136508,0.0,0.0,0.0,0.0,0.0,1.4331372,0.0,0.0,0.77769274,1.5888788,0.0,0.0,0.0,1.7312422,0.0,1.9147677,0.0,0.0,0.4092506,1.0764152,1.192294,0.0,0.0,0.8367714,1.3369496,0.0,0.0,1.2915777,1.150739,1.4779432,0.0,1.0039378,0.0,1.8043201,0.0,0.0,0.7645543,0.85631263,0.0
ASCL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8266562,0.0,0.0
CD81,0.0,0.0,0.5810579,1.484239,0.0,0.7825694,1.0587914,0.0,1.6252642,0.0,0.0,0.0,0.0,1.2080246,0.82421136,0.0,0.0,1.0603642,0.76356006,0.0,0.0,0.9718561,1.0955881,0.0,0.0,0.0,0.0,0.63288814,1.4782444,2.512986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6984389,1.9927008,0.0,0.38744774,0.63824344,1.5354154,0.0,0.0,1.0616525,0.0,1.2900491
TSSC4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3619586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27781236,0.0,0.0,0.0,0.1597037,0.0,0.0,0.32930267,0.0,0.0
KCNQ1OT1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1664495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28663597,0.0,0.0,0.0,0.0,0.0,0.0,0.19352046,0.0,0.0
NUP98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64954114,0.7156316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.020061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RHOG,0.0,0.0,0.0,0.794201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7873028,0.9841224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2928547,0.0,0.0,0.0,0.0,0.0,0.12943304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STIM1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13780534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRIM22,0.0,0.0,0.0,0.28764042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16686554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAVIN3,1.3859195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68414533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26058352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1457667,0.0
ARFIP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37433958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67396486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32662696,0.0,0.0,0.0,0.19748783,0.0,0.0,0.0,0.0,0.0
ILK,1.609438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16109872,0.0,0.0,0.0,0.2572657,0.0,0.0,0.0,2.4006271,0.0,0.19729432,1.0070888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3909454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3584538,0.0
TAF10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27571353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54278135,0.0,0.0,0.0,0.27129537,0.0,0.0,0.19249918,0.0,0.0
TPP1,0.0,0.0,0.0,0.84944963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47559816,0.5196649,0.0,0.0,0.0,0.0,0.70400894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRPL17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2080246,0.0,0.0,0.0,0.59595877,0.24222851,0.0,0.0,0.0,0.120486625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30706406,0.0,0.0,0.0,0.23562217,0.0,0.0,0.0,0.0,0.0
EIF3F,0.0,0.0,0.55089664,0.82426524,0.0,0.88612837,0.9282453,0.0,1.3193278,0.0,1.4355724,0.0,0.0,1.5393721,0.64416933,1.07581,1.122412,0.9887029,0.86592376,0.0,0.0,0.0,0.87515855,0.0,0.0,0.7514499,0.0,1.00423,1.1166663,1.1677774,0.0,0.0,1.0393877,0.0,0.0,1.3712598,0.0,0.6222929,0.98924077,0.0,0.51608026,0.6374563,1.235353,1.1622375,1.1256807,1.4663551,1.0206283,0.0
RIC3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23613364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21683866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STK33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3202178,0.0,0.0,0.31316626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPL27A,2.3165636,1.6781055,2.720931,2.8871737,1.3495036,3.17508,2.8719943,3.0974605,3.339377,3.4273574,3.1912613,2.2799077,1.9959652,2.7202685,2.2405667,3.5782201,3.2423184,2.1913097,2.889479,2.9329948,3.5476127,2.5287654,2.4831753,2.9535322,3.3895733,3.103706,0.0,2.83004,2.8296,2.7632117,3.2516088,0.0,3.0263896,2.4084158,1.5904753,3.5082688,2.7753386,3.2776413,2.682269,2.9167666,2.751787,2.3825603,3.284588,2.9994984,2.9508755,3.3785946,2.8885438,2.692234
