,Airway smooth muscle cell,Alveolar fibroblast 1,Alveolar fibroblast 2,Alveolar macrophage,Alveolar type 1 cell,Alveolar type 2 cell,Arterial endothelial cell,B cell,Basal cell,CD4+ T cell,CD8+ T cell,Capillary 1 cell,Capillary 2 cell,Chondrocyte,Ciliated cell,Classical DC subset 1,Classical DC subset 2,Deuterosomal cell,Goblet cell,Inflammatory monocyte,Innate lymphoid cell,Interstitial macrophage,Ionocyte,Lymphatic endothelial cell,Mast/Basophil,Mature DC subset,Megakaryocyte/Platelet,Mesothelial cell,Mucous cell,Myoepithelial cell,Natural killer cell,Neutrophil,Patrolling monocyte,Pericyte,Plasma cell,Plasmacytoid DC,Pulmonary neuroendocrine cell,Respiratory airway secretory cell,SMG Basal/Duct cell,Secondary crest myofibroblast,Secretory cell,Serous cell,Suprabasal cell,Systemic venous endothelial cell,T regulatory cell,Tuft cell,Vascular smooth muscle cell,Venous endothelial cell
ENSG00000034677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9793785151014937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9361702127659575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9652376377836187,0.0,0.0,0.0,0.9399669462061943,0.0,0.0,0.0,0.0,0.0
ENSG00000070756,0.0,0.0,0.15905208156463949,0.22689195643080043,0.0,0.1956578163390464,0.17518389351824495,0.2526081102959653,0.4014148128793595,0.3402433864613797,0.2602404064320503,0.0,0.0,0.15928509894837725,0.15777180930401416,0.3865902068767142,0.333696944916502,0.21191798372471587,0.24993946450821897,0.32311631770844157,0.28271505553671655,0.2413100169060078,0.1890732189442249,0.186273973038856,0.2698946607873795,0.32211266806785094,0.2670545971139948,0.2666246713475978,0.26834086408006386,0.16564368694386583,0.24208642954521992,0.0,0.3823827365611462,0.0,0.14893617021276595,0.3590124959641315,0.1843449612881275,0.23977525690768628,0.2332365056301685,0.1618315615552537,0.18451719334784975,0.2697222993728962,0.35747315909000155,0.2274630069732666,0.277095893596081,0.40294650387256703,0.1659907838131519,0.1682793345857174
ENSG00000164924,0.0,0.0,0.0,0.4099616332257048,0.0,0.3404255319148936,0.3445880869601635,0.0,0.4174205394501382,0.0,0.514996718853078,0.0,0.0,0.0,0.40139697967691623,0.43696414156162994,0.4377404730370704,0.445222055658381,0.4200639065275801,0.490607702985723,0.0,0.43308468067899664,0.5002778223220338,0.34862203927750285,0.3893221489926602,0.43751482887470977,0.6574734703023383,0.414233941981133,0.3714358223245499,0.38126459654341355,0.46976077937065286,0.6635486141164252,0.44897584331796525,0.0,0.0,0.5011888285900684,0.35752704676161423,0.35470159129893525,0.42478776738998736,0.0,0.3425528495869738,0.0,0.4718443218697893,0.0,0.48236918068946677,0.4533364519159845,0.3537856188226253,0.0
ENSG00000120963,0.0,0.0,0.0,0.7708568471543332,0.0,0.0,0.0,0.0,0.6787942495751889,0.0,0.0,0.0,0.0,0.0,0.6334061825529058,0.624512681301604,0.6881267301579739,0.6593815747727739,0.663728267588514,0.0,0.0,0.0,0.7245032444913336,0.6432451466296581,0.0,0.0,0.0,0.6318141602455302,0.707394982906098,0.6456454497702578,0.0,0.0,0.7118106661958897,0.0,0.0,0.8043724767705227,0.7367934952390954,0.0,0.6537714055243958,0.0,0.0,0.6170212765957447,0.6678126847490351,0.0,0.0,0.6626497532459016,0.0,0.0
ENSG00000104490,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9787234042553191,0.0,0.0,0.0,0.0,0.0,0.0,0.9889891020795132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000104517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9787691894997942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9787234042553191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000155090,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9402603215359627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9285481610196702,0.0,0.0,0.0,0.0,0.9435008827676165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9197865990882225,0.0,0.0,0.0,0.9148936170212766,0.0,0.0,0.0,0.0,0.0
ENSG00000155096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9628113723815755,0.0,0.0,0.9514170276357773,0.8924964679048416,0.0,0.0,0.0,0.8891973381346845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8840297498601548,0.0,0.0,0.0,0.8947258642379273,0.0,0.0,0.8723404255319149,0.0,0.0
ENSG00000164930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ENSG00000164934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9574468085106383,0.0,0.0,0.0,0.9608788338113339,0.0,0.0,0.9755457183147999,0.0,0.0
