CrossArea_cluster,mean_silhouette,std_silhouette,median_silhouette,count
L6 IT Car3_1,0.6815906491521296,0.14418364872476222,0.7451947124628948,68
L6 IT Car3_2,0.3324844162276441,0.2548724979412528,0.4345209856586207,156
L6 IT_1,0.4560997004685624,0.22199566814747793,0.5490012155766572,53
L6 IT_2,-0.33689642971571215,0.24695836676582358,-0.32956412912425337,301
L6b_1,0.3677748446828471,0.2259462732208785,0.43414500701204295,34
L6b_2,-0.5078441356785581,0.1042935507357545,-0.5170670639523558,308
L6b_3,0.7706371771434537,0.09646338458272173,0.812896912319044,61
L6b_4,-0.022249246053000882,0.36018465651589526,0.03001754636531705,255
L6b_5,0.47670610457703533,0.15899523289631415,0.5305451053958183,191
L6b_6,-0.19718849664639762,0.3168539948877631,-0.020656086915614782,301
Lamp5 Lhx6_1,-0.045522366090776235,0.36154144706139263,0.04031057127957429,270
Lamp5_1,0.37640095663453665,0.24244336671372382,0.4413218812536115,339
Lamp5_2,0.06209771901955537,0.26702920208130687,0.12019750316550681,343
Lamp5_3,0.06705534906522327,0.2574619862307779,0.10702719572704418,231
Lamp5_4,-0.3695594415856633,0.2072867391849881,-0.38440966414084565,259
Lamp5_5,-0.08567972812235117,0.18193895643361432,-0.05507992792790118,270
Lamp5_6,0.33429438117688803,0.21937815946946473,0.39602385431755316,288
Lamp5_7,0.17864310000185768,0.28837906279656034,0.2604415316839733,276
Micro/PVM_1,-0.19433671326475488,0.24897865962184795,-0.06581775845072653,232
OPC_1,-0.1988917503133347,0.24047667044686352,-0.2140924378731726,228
Oligo_1,0.7265430217286807,0.13881761190607944,0.7775695025264584,81
Oligo_2,0.014090504222412535,0.3040595511072419,0.11481408299306767,268
Oligo_3,0.5633388761836108,0.19257835430716863,0.616703346203041,179
Oligo_4,-0.5818891106219336,0.13595249413587523,-0.5821281500162847,229
Pax6_1,0.5297847152632338,0.305436603949999,0.6624796157253672,347
Pax6_2,0.48765966221566975,0.1838782988396523,0.5424400689705878,290
Pax6_3,-0.4344501722899244,0.23449790661716552,-0.31181984621074554,330
Pax6_4,0.730515721485778,0.18436826580348442,0.7933048878077529,290
Pvalb_1,0.4593154275153949,0.2705811847801933,0.5800039429446789,243
Pvalb_2,0.6369675533498341,0.12437813850837308,0.6816298648387279,294
Pvalb_3,0.21651563644065444,0.195425602140201,0.24760909204331544,205
Pvalb_4,-0.6246863820927439,0.1317915000347554,-0.6184176603256081,286
