author_cell_type,mean,std,median,count,q1,q3,f_score
HAC50,-0.13773230776019035,0.25661103488364706,-0.0700259318453082,1561,-0.2563965441008958,0.0731640551162354,0.6927642090846838
VG3*,-0.16236576445267675,0.31911601818665086,-0.11845073500603981,584,-0.3590429584057525,0.13466738761979022,0.702683615819209
HAC81,-0.21942597298662014,0.2609223652900815,-0.1695271814013319,159,-0.38326554234017846,0.00074865975750785,0.6200527704485488
HAC71,-0.2428690705612781,0.22644441187990136,-0.2027884220707512,502,-0.35673651367869036,-0.07255987096239885,0.6775147928994083
HAC55,-0.23994937041962025,0.28500301396641153,-0.226147614160119,1157,-0.4503665325058883,0.017194462131525,0.4599092284417549
OFF-SAC*,-0.3066692445252344,0.2083105364253007,-0.2389837247573205,274,-0.44079284425666776,-0.13608956552682785,0.7193732193732194
HAC62,-0.28075203181674274,0.14473450170752358,-0.25482266384840757,864,-0.34374410312772086,-0.18346724138752307,0.7262996941896025
HAC52,-0.3001936981257551,0.1506627986196259,-0.26027639671732855,1278,-0.35473232266664934,-0.2006335600155106,0.4350766456266907
HAC87,-0.32265969136616957,0.22687163749541947,-0.3154852436204023,90,-0.46861802951138964,-0.13018552610572914,0.5645161290322581
nNOS,-0.33598276863393534,0.150377627266075,-0.33749039885866505,5000,-0.4095504928506608,-0.2125753253260283,0.6561850311850311
HAC78,-0.41382525497878275,0.19604684689077098,-0.3474873834154952,241,-0.5803592415357673,-0.2610504995655602,0.6712564543889845
HAC57,-0.369323482078175,0.14838241180290695,-0.3542983058037915,1119,-0.427636357416848,-0.27441495752323275,0.5856450902686041
HAC60,-0.5850439476668207,0.18620924824632823,-0.5560820758577031,876,-0.649905639101117,-0.48203549949992097,0.5219072164948454
4,-0.5818185314444184,0.14830373931593654,-0.5877928568408997,208,-0.6700655921288374,-0.5211364893134626,0.3799019607843137
MG_OFF,-0.5763756267525372,0.1922661572544663,-0.5982077413348492,5000,-0.7370449952261674,-0.446522073523563,0.59597875569044
HAC84,-0.6006434501863185,0.1282429820141423,-0.6086816439497869,117,-0.684402995246472,-0.5401934079424745,0.6902356902356902
HAC80,-0.657629838067592,0.14019571614894358,-0.6453159715103086,165,-0.746287761764408,-0.5558661499383358,0.1244813278008298
MG_ON,-0.6942769879010074,0.14141037440064272,-0.7132943316314722,5000,-0.805549215416965,-0.5799915365392819,0.6352261790182868
HAC72,-0.7706929063939125,0.1266022245795631,-0.7771914202334811,483,-0.8898233191739111,-0.6613369667357751,0.5587392550143266
HAC91,-0.7629301659924539,0.12669669318345658,-0.8056575558738464,74,-0.8764743655834155,-0.6410722949174088,0.3631284916201117
HAC88,-0.8156134926579593,0.07247708749442944,-0.8205084142023225,87,-0.8598969629122795,-0.7822738072839899,0.4589371980676328
HAC74,-0.8635512022170968,0.04863127805979707,-0.8578073125967738,412,-0.9055906325195169,-0.8306933046516518,0.5733471074380165
