author_cell_type,mean,std,median,count,q1,q3,f_score
HAC89,0.300967130605645,0.26317185806185267,0.4085199751256092,84,0.237240098026582,0.4660927052333285,0.0375375375375375
HAC23,0.3260310648499395,0.2510701721932151,0.4044582396032158,6583,0.2357931712738474,0.5064687136674193,0.6671179302045728
HAC41,0.2292814405817955,0.3319739611840293,0.4025945827908055,3032,0.051193651681504124,0.4709090573883586,0.6364306784660767
HAC51,0.34034456096999116,0.2349904335065225,0.3984901170504434,1453,0.2289908385631255,0.5278585757381719,0.6687099470604625
HAC82,0.2873541035969873,0.29125369759102326,0.3943849676599859,151,0.23111253618104674,0.4790596351961044,0.0554357868801971
HAC8,0.3347233453780047,0.2100355914806684,0.3939057663589504,21175,0.3111463086791727,0.46272395815485995,0.6398585615407764
HAC30,0.2666903366937628,0.32545112299348217,0.38698018531883027,4936,0.1241486397974893,0.5131200626716789,0.7041910331384016
HAC44,0.30171844729854336,0.24634737012222377,0.3827287757163643,2576,0.288447303506712,0.43077161347526005,0.7397959183673469
HAC13,0.23891247341830166,0.33222043754434727,0.38171219561545244,11910,0.1679703245913705,0.45848761661414944,0.7641537107656204
MG,0.34138984564379243,0.21473561824191015,0.37759889034280214,221612,0.22963296458103893,0.5073247266593021,0.77829502473087
HAC93,0.2874155631789558,0.23086005853911593,0.3586156611003211,55,0.24899151747440776,0.4237430898555634,0.7407407407407407
HAC19,0.2696965783636605,0.23568357451116928,0.3543715373587242,8286,0.18025959676302084,0.43523601160883596,0.7756653992395437
HAC39,0.2088246500263294,0.35760602724846063,0.34820939437858234,3140,0.0310641577494815,0.48785692083341875,0.7141327623126338
OFF-SAC,0.2877876924444545,0.20006220215798765,0.3451756955292531,4647,0.20196176952961803,0.436483742779019,0.7393410141630586
AII,0.21830445163717016,0.29337676232703375,0.3362878302496689,50140,0.034036028108527426,0.45353130320954543,0.7616134384072999
